name,ingredients,time,budget,description,link
Beef Stir Fry,"Beef strips, Soy sauce, Vegetables, Ginger, Garlic",20 to 30 minutes,$10 to $15,Savory stir-fried beef with fresh vegetables.,https://www.allrecipes.com/recipe/228823/quick-beef-stir-fry/
Lentil Soup,"Lentils, Carrots, Onion, Garlic, Vegetable broth",20 to 30 minutes,<$5,"Healthy and hearty lentil soup, perfect for cold days.",https://www.youtube.com/watch?v=ZjXR8PfrhhA
Avocado Toast,"Bread, Avocado, Lemon juice, Salt, Pepper",<10 minutes,<$5,Simple and trendy avocado toast for breakfast or snack.,https://www.allrecipes.com/recipe/240222/avocado-toast/
Stuffed Bell Peppers,"Bell peppers, Ground beef, Rice, Tomato sauce, Cheese",20 to 30 minutes,$5 to $10,Bell peppers stuffed with a savory rice and beef mixture.,https://www.allrecipes.com/recipe/23407/stuffed-green-peppers-i/
Quinoa Salad,"Quinoa, Cucumber, Tomatoes, Feta cheese, Lemon juice",10 to 20 minutes,<$5,A refreshing and healthy quinoa salad.,https://www.allrecipes.com/recipe/229156/quinoa-salad/
Sloppy Joes,"Ground beef, Tomato paste, Ketchup, Buns, Onion",10 to 20 minutes,$5 to $10,Classic sloppy joes for a quick family meal.,https://www.youtube.com/watch?v=JxFoJFdVvwo
Fish Tacos,"Fish fillets, Tortillas, Cabbage, Lime, Sour cream",20 to 30 minutes,$10 to $15,Fresh and flavorful fish tacos with a tangy slaw.,https://www.allrecipes.com/recipe/231365/fish-tacos/
Vegetable Curry,"Vegetables, Coconut milk, Curry paste, Onion, Garlic",20 to 30 minutes,$5 to $10,Spicy and aromatic vegetable curry.,https://www.youtube.com/watch?v=0J62CL0CKRA
BLT Sandwich,"Bread, Bacon, Lettuce, Tomato, Mayonnaise",<10 minutes,<$5,A classic BLT sandwich with crispy bacon and fresh tomatoes.,https://www.allrecipes.com/recipe/220400/blt/
Zucchini Noodles,"Zucchini, Olive oil, Garlic, Parmesan, Salt",<10 minutes,<$5,Healthy and low-carb zucchini noodles with garlic and Parmesan.,https://www.youtube.com/watch?v=2nlMKw3dj_o
Chicken Tikka Masala,"Chicken, Yogurt, Tomato puree, Garam masala, Cream",20 to 30 minutes,$10 to $15,A flavorful and creamy chicken curry dish.,https://www.allrecipes.com/recipe/45736/chicken-tikka-masala/
Egg Salad,"Eggs, Mayonnaise, Mustard, Salt, Pepper",<10 minutes,<$5,"Creamy and simple egg salad, perfect for sandwiches.",https://www.youtube.com/watch?v=b0IB0j3-yjY
Shepherd’s Pie,"Ground beef, Mashed potatoes, Vegetables, Onion, Gravy",20 to 30 minutes,$10 to $15,A comforting and hearty shepherd’s pie.,https://www.allrecipes.com/recipe/21176/shepherds-pie-vi/
Peanut Butter Cookies,"Peanut butter, Sugar, Eggs, Vanilla extract",10 to 20 minutes,<$5,Easy and chewy peanut butter cookies.,https://www.allrecipes.com/recipe/11399/classic-peanut-butter-cookies/
